measurement_id,sample_id,source_id,measurement_mode,experiment_type,temperature_raw,temperature_c,pressure_raw,pressure_bar,pressure_relation,duration_raw,duration_seconds,hydrogen_capacity_wt_pct,capacity_lower_wt_pct,capacity_upper_wt_pct,capacity_basis,value_qualifier,reported_uncertainty_wt_pct,cycle_number,source_pdf_page,source_locator,extraction_type,extraction_note,include_in_default_training
M-0030,S-F05-CTRL,SRC-0005,absorption,isothermal_kinetics,423 K,149.85,3 MPa,30,=,1 h,3600,0.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4f,author_reported_text,,true
M-0031,S-F05-CTRL,SRC-0005,absorption,isothermal_kinetics,473 K,199.85,3 MPa,30,=,1 h,3600,5.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4f,author_reported_text,,true
M-0032,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,250 C,250,static vacuum,,,3 min,180,5.7,,,sample mass,reported,,,7,Section 3.2; Fig. 5a,author_reported_text,Capacity reached a stable value after the stated hold time.,true
M-0033,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,210 C,210,static vacuum,,,20 min,1200,3,,,sample mass,approximately,,,7,Section 3.2; Fig. 5a,author_reported_text,,true
M-0034,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,230 C,230,static vacuum,,,20 min,1200,5.2,,,sample mass,approximately,,,7,Section 3.2; Fig. 5a,author_reported_text,,true
M-0035,S-F06-LVO15,SRC-0006,absorption,isothermal_kinetics,50 C,50,5 MPa,50,=,30 min,1800,3.2,,,sample mass,approximately,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
M-0036,S-F06-LVO15,SRC-0006,absorption,isothermal_kinetics,100 C,100,5 MPa,50,=,20 min,1200,4.9,,,sample mass,reported,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
M-0037,S-F06-LVO15,SRC-0006,absorption,isothermal_kinetics,150 C,150,5 MPa,50,=,3 min,180,5.7,,,sample mass,reported,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
M-0038,S-F06-CTRL,SRC-0006,absorption,isothermal_kinetics,150 C,150,5 MPa,50,=,20 min,1200,1.1,,,sample mass,reported,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
M-0039,S-F07-VOC6,SRC-0007,desorption,isothermal_kinetics,300 C,300,,,,3 min,180,6.2,,,sample mass,reported,,,2,Results; Fig. 2c,author_reported_text,,true
M-0040,S-F07-VOC6,SRC-0007,desorption,isothermal_kinetics,250 C,250,,,,10 min,600,5.8,,,sample mass,reported,,,2,Results; Fig. 2c,author_reported_text,,true
M-0041,S-F07-VOC6,SRC-0007,desorption,isothermal_kinetics,225 C,225,,,,50 min,3000,4.96,,,sample mass,reported,,,3,Results; Fig. 2c,author_reported_text,,true
M-0042,S-F07-VOC6,SRC-0007,desorption,isothermal_kinetics,200 C,200,,,,120 min,7200,3.59,,,sample mass,reported,,,3,Results; Fig. 2c,author_reported_text,,true
M-0043,S-F07-VOC6,SRC-0007,desorption,isothermal_kinetics,180 C,180,,,,7.5 h,27000,1.48,,,sample mass,reported,,,3,Results; Fig. 2c,author_reported_text,,true
M-0044,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,150 C,150,,,,40.5 min,2430,6.03,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,,true
M-0045,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,125 C,125,,,,30 min,1800,5.17,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,,true
M-0046,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,100 C,100,,,,41.5 min,2490,4.84,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,,true
M-0047,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,75 C,75,,,,30 min,1800,4.18,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,,true
M-0048,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,50 C,50,,,,80 min,4800,3.94,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,,true
M-0049,S-F07-VOC6,SRC-0007,absorption,isothermal_kinetics,room temperature,,not reported,,,2.7 h,9720,3.9,,,sample mass,reported,,,3,Results; Fig. 2d,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0050,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,50 bar,50,=,45 min,2700,4.5,,,sample mass,approximately,,,3,Section 3.1; Fig. 2a,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0051,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,50 bar,50,=,120 min,7200,5,,,sample mass,greater_than,,,3,Section 3.1; Fig. 2a,author_reported_text,Numeric field stores the stated threshold; qualifier preserves greater-than semantics. Room temperature remains null.,false
M-0052,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,10 bar,10,=,180 min,10800,4.1,,,sample mass,approximately,,,3,Section 3.1; Fig. 2a,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0053,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,10 bar,10,=,6 h,21600,5.5,,,sample mass,approximately,,,3,Section 3.1; Fig. 2a,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0054,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,10 bar,10,=,12 h,43200,6,,,sample mass,approximately,,,3,Section 3.1; Fig. S2,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
M-0055,S-F08-NATI5,SRC-0008,absorption,isothermal_kinetics,room temperature,,30 bar,30,=,180 min,10800,5.5,,,sample mass,approximately,,,3,Section 3.1; Fig. 2a,author_reported_text,Room temperature was not converted to an assumed numeric value.,false
