ablation,reference,grouped_mae,grouped_rmse,grouped_r2,absorption_mae,absorption_rmse,desorption_mae,desorption_rmse,median_source_mae,worst_source_mae,delta_mae,delta_rmse,delta_r2
remove_support,feature_a_deployment_no_family,1.2037108330472952,1.6122851556137676,0.2759290482215352,1.309449960385966,1.671468564878297,1.1141014030992695,1.5603734610529751,1.0044588304810373,2.0473548799649235,0.02437429659995738,0.030671575017415798,-0.027286927346568568
remove_catalyst_family,feature_a_deployment,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.004107998612238983,-0.006755284237605963,0.005964827635279835
remove_pressure,feature_a_no_milling_no_elements_no_preparation_no_family,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.03161095294761562,-0.038821572485887135,0.03462569299417917
remove_elements,feature_a_no_milling_no_pressure_no_preparation_no_family,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.037301023095999364,-0.04973470016835657,0.04451050159786907
remove_milling_details,feature_a_no_pressure_no_elements_no_preparation_no_family,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.021243642626242565,-0.046150164117412684,0.041256410885818884
remove_preparation_variables,feature_a_reduced_no_family,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.031216193000397796,-0.02417325540580073,0.021461950046964273
remove_exact_identity,feature_b_deployment_no_family,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.00794988930792817,-0.005038457700476728,0.004446482786301109
remove_engineered_interactions,feature_a_deployment_no_family_interactions,1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,-0.05259173170855247,-0.05741012228113984,0.051502427813445495
