experiment_id,model,feature_set,augmentation,preprocessing,regularization,hyperparameters,seed,grouping_strategy,grouped_mae,grouped_rmse,grouped_r2,absorption_mae,absorption_rmse,desorption_mae,desorption_rmse,median_source_mae,worst_source_mae,notes
R5_pressure_free_identity,catboost,feature_b_no_milling_no_pressure,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2007627380955317,1.5842657952238453,0.3008771359406519,1.2979143755225437,1.6105226557598735,1.1184308419709452,1.5616686683088712,1.031387627796602,2.011707012355635,Final bounded pressure-free refinement
R4_pressure_free_no_preparation,catboost,pressure_free_no_preparation,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2175678667190726,1.594816818501539,0.29153397544701853,1.307809801794349,1.6028274884980058,1.1410916505535844,1.5879964816833023,0.9781388439176215,1.9634223970701115,Final bounded pressure-free refinement
R1_pressure_free_no_elements,catboost,pressure_free_no_elements,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2180242830548593,1.5941045430577538,0.29216666286177473,1.338967974126618,1.6545990558374182,1.115529629604216,1.5409800496327863,1.0728378567790569,1.8553078670129421,Final bounded pressure-free refinement
R0_pressure_free_reference,catboost,feature_a_no_milling_no_pressure,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2263102588877515,1.5983024537053594,0.2884337413518785,1.3477601873640401,1.6447339752120087,1.1233865906875076,1.5578707627525177,1.0666279033295472,1.8754958841427705,Final bounded pressure-free refinement
R2_pressure_free_no_family,catboost,pressure_free_no_family,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.231032792666987,1.6038048242359328,0.283525983526972,1.3709174627347858,1.6549838626804019,1.1124864621010553,1.5591181849605171,1.1160948839415443,2.1654805668039847,Final bounded pressure-free refinement
R3_pressure_free_no_support,catboost,pressure_free_no_support,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.254393953173612,1.624282688582003,0.2651128638645178,1.3844220993397705,1.6745741460481094,1.1442006089650039,1.5804105076241737,1.134984487824934,2.0311652926518424,Final bounded pressure-free refinement
R6_pressure_free_interactions,catboost,feature_a_interactions_no_milling_no_pressure,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2835629367803547,1.667506225676027,0.22548052562216303,1.4279750579358206,1.7312723750847034,1.1611797832587736,1.611493109859081,1.1133085080254341,2.285552404913196,Final bounded pressure-free refinement
